1529621541.865839000	0	1412	1
1529621541.866120000	0.000281096	785	1
1529621541.888281000	0.0224421	1412	0
1529621541.889064000	0.0232251	103	1
1529621541.889175000	0.0233359	97	1
1529621541.893197000	0.0273581	93	0
1529621541.894723000	0.0288839	84	0
1529621541.918390000	0.052551	100	1
1529621541.936839000	0.0710001	84	0
1529621541.973579000	0.10774	1412	0
1529621541.973937000	0.108098	1412	0
1529621541.973941000	0.108102	1412	0
1529621541.973944000	0.108105	1412	0
1529621541.974094000	0.108255	103	1
1529621541.974146000	0.108307	100	1
1529621541.974232000	0.108393	1412	0
1529621541.974234000	0.108395	1412	0
1529621541.974560000	0.108721	1412	0
1529621541.974563000	0.108724	1412	0
1529621541.974566000	0.108727	1412	0
1529621541.974568000	0.108729	1412	0
1529621541.974686000	0.108847	100	1
1529621541.974734000	0.108895	100	1
1529621541.974779000	0.10894	100	1
1529621541.974891000	0.109052	1412	0
1529621541.974894000	0.109055	1412	0
1529621541.975102000	0.109263	100	1
1529621541.975137000	0.109298	1412	0
1529621541.975583000	0.109744	1412	0
1529621541.975670000	0.109831	100	1
1529621541.976629000	0.11079	1412	0
1529621541.976955000	0.111116	1412	0
1529621541.977106000	0.111267	100	1
1529621541.978111000	0.112272	1412	0
1529621541.978432000	0.112593	1412	0
1529621541.978586000	0.112747	100	1
1529621541.979507000	0.113668	1412	0
1529621541.979800000	0.113961	1412	0
1529621541.979896000	0.114057	100	1
1529621541.981396000	0.115557	1412	0
1529621541.981739000	0.1159	1412	0
1529621541.981881000	0.116042	100	1
1529621541.982062000	0.116223	1412	0
1529621541.983230000	0.117391	1412	0
1529621541.983447000	0.117608	100	1
1529621541.983537000	0.117698	1412	0
1529621541.984315000	0.118476	101	0
1529621541.984450000	0.118611	100	1
1529621541.993422000	0.127583	532	1
1529621542.014152000	0.148313	1412	0
1529621542.014256000	0.148417	1412	0
1529621542.014490000	0.148651	100	1
1529621542.014548000	0.148709	1412	0
1529621542.014550000	0.148711	1412	0
1529621542.014553000	0.148714	1412	0
1529621542.014744000	0.148905	100	1
1529621542.014849000	0.14901	1412	0
1529621542.014851000	0.149012	1412	0
1529621542.014854000	0.149015	1412	0
1529621542.015320000	0.149481	100	1
1529621542.015369000	0.14953	100	1
1529621542.015775000	0.149936	1412	0
1529621542.015778000	0.149939	1412	0
1529621542.015780000	0.149941	1412	0
1529621542.015783000	0.149944	1412	0
1529621542.015785000	0.149946	1412	0
1529621542.015787000	0.149948	1412	0
1529621542.015790000	0.149951	1412	0
1529621542.015982000	0.150143	100	1
1529621542.016028000	0.150189	100	1
1529621542.016076000	0.150237	100	1
1529621542.016692000	0.150853	1412	0
1529621542.016695000	0.150856	1412	0
