1522656960.788667000	0	86	1
1522656960.802326000	0.013659	86	0
1522656960.802382000	0.013715	74	1
1522656960.802631000	0.0139639	276	1
1522656960.822515000	0.033848	74	0
1522656960.840553000	0.0518861	1294	0
1522656960.840845000	0.0521781	1294	0
1522656960.840847000	0.0521801	200	0
1522656960.840868000	0.052201	74	1
1522656961.239770000	0.451103	316	1
1522656961.244066000	0.455399	159	1
1522656961.244302000	0.455635	477	1
1522656961.258009000	0.469342	344	0
1522656961.262015000	0.473348	135	0
1522656961.262034000	0.473367	74	1
1522656961.262294000	0.473627	104	1
1522656961.262571000	0.473904	104	0
1522656961.319416000	0.530749	74	0
1522656961.337367000	0.5487	651	0
1522656961.337398000	0.548731	74	1
1522656961.337607000	0.54894	1294	0
1522656961.337610000	0.548943	1294	0
1522656961.337634000	0.548967	74	1
1522656961.337875000	0.549208	1294	0
1522656961.337951000	0.549284	1294	0
1522656961.337961000	0.549294	74	1
1522656961.338148000	0.549481	1294	0
1522656961.338217000	0.54955	1294	0
1522656961.338228000	0.549561	74	1
1522656961.338446000	0.549779	1294	0
1522656961.338561000	0.549894	685	0
1522656961.338573000	0.549906	74	1
1522656961.339701000	0.551034	1294	0
1522656961.339959000	0.551292	1294	0
1522656961.339971000	0.551304	74	1
1522656961.340029000	0.551362	1294	0
1522656961.340274000	0.551607	1294	0
1522656961.340285000	0.551618	74	1
1522656961.340602000	0.551935	1294	0
1522656961.354748000	0.566081	1294	0
1522656961.354796000	0.566129	74	1
1522656961.355009000	0.566342	1294	0
1522656961.355080000	0.566413	1294	0
1522656961.355089000	0.566422	74	1
1522656961.355346000	0.566679	1294	0
1522656961.355348000	0.566681	1294	0
1522656961.355363000	0.566696	74	1
1522656961.355423000	0.566756	1294	0
1522656961.355629000	0.566962	1294	0
1522656961.355631000	0.566964	1294	0
1522656961.355643000	0.566976	74	1
1522656961.355704000	0.567037	1294	0
1522656961.355869000	0.567202	1294	0
1522656961.355880000	0.567213	74	1
1522656961.355941000	0.567274	1294	0
1522656961.355944000	0.567277	1294	0
1522656961.355953000	0.567286	74	1
1522656961.356197000	0.56753	1294	0
1522656961.356262000	0.567595	1294	0
1522656961.356264000	0.567597	1294	0
1522656961.356275000	0.567608	74	1
1522656961.357113000	0.568446	1294	0
1522656961.357386000	0.568719	1294	0
1522656961.357402000	0.568735	74	1
1522656961.358004000	0.569337	1294	0
1522656961.358295000	0.569628	1294	0
1522656961.358309000	0.569642	74	1
1522656961.358885000	0.570218	1294	0
